Date,Timepoint,SampleID,Treatment,FC_probe,cell_type,Count,Mean_FL1,Mean_FL2,Ratio_FL2.FL1,
20220322,8_days,1,,JC-10_5uM,degranulated,3250,142456.99,40145.28,0.281806319,
20220322,8_days,2,,JC-10_5uM,degranulated,3027,143347.69,43788.64,0.305471543,
20220322,8_days,3,,JC-10_5uM,degranulated,1954,156732.36,46021.21,0.29362928,
20220322,8_days,4,,JC-10_5uM,degranulated,NA,NA,NA,NA,poor sample quality
20220322,8_days,5,,JC-10_5uM,degranulated,2996,157188.64,43282.19,0.275351896,
20220322,8_days,6,,JC-10_5uM,degranulated,2942,122081.64,33100.56,0.271134628,
20220322,8_days,7,,JC-10_5uM,degranulated,7064,277139.61,72631.07,0.262073942,
20220322,8_days,8,,JC-10_5uM,degranulated,1395,160275.49,44357.06,0.276755105,
20220322,8_days,9,,JC-10_5uM,degranulated,2948,259728.64,74383.02,0.286387439,
20220322,8_days,10,,JC-10_5uM,degranulated,3133,167899.78,48118.08,0.286588106,
20220322,8_days,11,,JC-10_5uM,degranulated,13551,146272.72,42996.49,0.293947429,
20220322,8_days,12,,JC-10_5uM,degranulated,1704,150840.48,45196.78,0.299632963,
20220322,8_days,1,,JC-10_5uM,immature_granular,479,72135.55,29456.38,0.408347618,
20220322,8_days,2,,JC-10_5uM,immature_granular,340,130560,53811.5,0.412159161,
20220322,8_days,3,,JC-10_5uM,immature_granular,247,105028.26,49477.81,0.471090447,
20220322,8_days,4,,JC-10_5uM,immature_granular,NA,NA,NA,NA,poor sample quality
20220322,8_days,5,,JC-10_5uM,immature_granular,130,139242.01,58282.19,0.418567572,
20220322,8_days,6,,JC-10_5uM,immature_granular,314,76151.15,29929.44,0.393026763,
20220322,8_days,7,,JC-10_5uM,immature_granular,363,211828.57,68078.1,0.321382994,
20220322,8_days,8,,JC-10_5uM,immature_granular,278,107159.43,42282.3,0.394573767,
20220322,8_days,9,,JC-10_5uM,immature_granular,668,153532.14,72272.71,0.470733424,
20220322,8_days,10,,JC-10_5uM,immature_granular,209,130346.35,44645.26,0.342512544,
20220322,8_days,11,,JC-10_5uM,immature_granular,2350,83099.69,27344,0.329050566,
20220322,8_days,12,,JC-10_5uM,immature_granular,244,120459.82,58225.11,0.483357106,
20220322,8_days,1,,JC-10_5uM,mature_granular,1496,131937.26,35714.45,0.270692676,
20220322,8_days,2,,JC-10_5uM,mature_granular,691,195580.39,61641.72,0.315173316,
20220322,8_days,3,,JC-10_5uM,mature_granular,542,153264.73,51073.98,0.33324027,
20220322,8_days,4,,JC-10_5uM,mature_granular,NA,NA,NA,NA,poor sample quality
20220322,8_days,5,,JC-10_5uM,mature_granular,296,187649.46,56267,0.299851649,
20220322,8_days,6,,JC-10_5uM,mature_granular,930,97681.92,25370.12,0.259721758,
20220322,8_days,7,,JC-10_5uM,mature_granular,714,259212.9,78158.4,0.301522031,
20220322,8_days,8,,JC-10_5uM,mature_granular,591,141095.07,39556.22,0.280351539,
20220322,8_days,9,,JC-10_5uM,mature_granular,2381,218588.43,67743.35,0.309912789,
20220322,8_days,10,,JC-10_5uM,mature_granular,699,208550.42,57974.44,0.277987644,
20220322,8_days,11,,JC-10_5uM,mature_granular,4505,148053.61,40845.85,0.275885539,
20220322,8_days,12,,JC-10_5uM,mature_granular,472,147803.91,43081.06,0.291474427,
20220322,8_days,1,,JC-10_5uM,mature_agranular,674,99003.44,32884.63,0.332156438,
20220322,8_days,2,,JC-10_5uM,mature_agranular,687,67493.01,20911.52,0.309832381,
20220322,8_days,3,,JC-10_5uM,mature_agranular,462,84137.61,26781.31,0.318303669,
20220322,8_days,4,,JC-10_5uM,mature_agranular,NA,NA,NA,NA,poor sample quality
20220322,8_days,5,,JC-10_5uM,mature_agranular,720,86236.53,26348.91,0.305542326,
20220322,8_days,6,,JC-10_5uM,mature_agranular,1468,82089.95,24334.11,0.296432267,
20220322,8_days,7,,JC-10_5uM,mature_agranular,2451,214096.23,57346.18,0.267852358,
20220322,8_days,8,,JC-10_5uM,mature_agranular,471,77838.09,21589.99,0.277370501,
20220322,8_days,9,,JC-10_5uM,mature_agranular,1229,242214.1,74900.65,0.309233236,
20220322,8_days,10,,JC-10_5uM,mature_agranular,721,102265.28,32710.12,0.319855576,
20220322,8_days,11,,JC-10_5uM,mature_agranular,5065,100704.41,32258.05,0.320324105,
20220322,8_days,12,,JC-10_5uM,mature_agranular,784,84110.14,26550.89,0.315668123,
20220314,1_day,1,,JC-10_5uM,degranulated,516,69562.7,17254.45,0.248041695,
20220314,1_day,2,,JC-10_5uM,degranulated,460,133439.4,34866.07,0.261287671,
20220314,1_day,3,,JC-10_5uM,degranulated,2863,137184.51,34241.74,0.249603545,
20220314,1_day,4,,JC-10_5uM,degranulated,820,148353.78,40219.44,0.271104922,
20220314,1_day,5,,JC-10_5uM,degranulated,781,119798.05,33841.63,0.282488989,
20220314,1_day,6,,JC-10_5uM,degranulated,2646,119069.67,32371.07,0.271866631,
20220314,1_day,7,,JC-10_5uM,degranulated,1474,79577.02,18343.86,0.230517051,
20220314,1_day,8,,JC-10_5uM,degranulated,1520,134752.58,37779.17,0.28035953,
20220314,1_day,9,,JC-10_5uM,degranulated,1530,141373.03,44113.34,0.312035047,
20220314,1_day,10,,JC-10_5uM,degranulated,3484,129653.78,35571.95,0.274361071,
20220314,1_day,11,,JC-10_5uM,degranulated,1005,153181.13,43599.16,0.284624875,
20220314,1_day,12,,JC-10_5uM,degranulated,1811,199629.08,30595.35,0.153260988,
20220314,1_day,1,,JC-10_5uM,immature_granular,96,152424.3,108298.69,0.710508036,
20220314,1_day,2,,JC-10_5uM,immature_granular,103,121724.72,97116.71,0.797838845,
20220314,1_day,3,,JC-10_5uM,immature_granular,416,104600.28,55885.84,0.534280023,
20220314,1_day,4,,JC-10_5uM,immature_granular,103,217734.75,151612.77,0.696318663,
20220314,1_day,5,,JC-10_5uM,immature_granular,542,230759.45,177583.06,0.76955921,
20220314,1_day,6,,JC-10_5uM,immature_granular,641,127461.86,72363.59,0.567727397,
20220314,1_day,7,,JC-10_5uM,immature_granular,504,108690.46,61365.28,0.564587545,
20220314,1_day,8,,JC-10_5uM,immature_granular,485,199113.62,101515.8,0.509838553,
20220314,1_day,9,,JC-10_5uM,immature_granular,909,210523.18,146912.21,0.697843392,
20220314,1_day,10,,JC-10_5uM,immature_granular,518,116529.46,71629.25,0.614687908,
20220314,1_day,11,,JC-10_5uM,immature_granular,172,132483.87,75309.55,0.568443162,
20220314,1_day,12,,JC-10_5uM,immature_granular,301,222019.68,126352.56,0.569105225,
20220314,1_day,1,,JC-10_5uM,mature_agranular,2227,45779.02,13724.35,0.299795627,
20220314,1_day,2,,JC-10_5uM,mature_agranular,1295,104594.66,35489.36,0.339303746,
20220314,1_day,3,,JC-10_5uM,mature_agranular,10416,78231.33,24383.71,0.311687274,
20220314,1_day,4,,JC-10_5uM,mature_agranular,4319,140755.61,48596.4,0.345253734,
20220314,1_day,5,,JC-10_5uM,mature_agranular,5179,42940.67,13951.63,0.324904805,
20220314,1_day,6,,JC-10_5uM,mature_agranular,6384,67946.7,23129.47,0.340406083,
20220314,1_day,7,,JC-10_5uM,mature_agranular,5244,45820.5,12102.23,0.264122609,
20220314,1_day,8,,JC-10_5uM,mature_agranular,4911,85096.5,26039.07,0.305994606,
20220314,1_day,9,,JC-10_5uM,mature_agranular,5406,75410.69,26091.58,0.345993121,
20220314,1_day,10,,JC-10_5uM,mature_agranular,7192,61275.67,18466.57,0.301368716,
20220314,1_day,11,,JC-10_5uM,mature_agranular,4988,136051.99,40091.88,0.294680585,
20220314,1_day,12,,JC-10_5uM,mature_agranular,6561,64453.14,18853.6,0.292516393,
20220314,1_day,1,,JC-10_5uM,mature_granular,129,105747.36,46577.61,0.440461209,
20220314,1_day,2,,JC-10_5uM,mature_granular,100,122125.54,52063.16,0.426308535,
20220314,1_day,3,,JC-10_5uM,mature_granular,498,142580.73,42539.9,0.298356587,
20220314,1_day,4,,JC-10_5uM,mature_granular,113,188617.37,92465.23,0.490226483,
20220314,1_day,5,,JC-10_5uM,mature_granular,252,311917.96,195314.67,0.626173209,
20220314,1_day,6,,JC-10_5uM,mature_granular,1823,155265.65,40745.09,0.262421791,
20220314,1_day,7,,JC-10_5uM,mature_granular,406,155581.9,71772.21,0.461314652,
20220314,1_day,8,,JC-10_5uM,mature_granular,446,198070.38,73720.37,0.372192803,
20220314,1_day,9,,JC-10_5uM,mature_granular,607,292093.03,159844.37,0.547237878,
20220314,1_day,10,,JC-10_5uM,mature_granular,981,175855.01,54045.23,0.30732835,
20220314,1_day,11,,JC-10_5uM,mature_granular,567,197001.91,58368.31,0.296282965,
20220314,1_day,12,,JC-10_5uM,mature_granular,326,179516.4,70023.7,0.39006854,
